0,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
1,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
2,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
3,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
4,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
5,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
6,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
7,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
8,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
9,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
10,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
11,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
12,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
13,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
14,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
15,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
16,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
17,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
18,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
19,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
20,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
21,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
22,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
23,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
24,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
25,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
26,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
27,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
28,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
29,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
30,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
31,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
32,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
33,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
34,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
35,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
36,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
37,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
38,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
39,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
40,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
41,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
42,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
43,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
44,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
45,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
46,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
47,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
48,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
49,"[0,50[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
50,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
51,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
52,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
53,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
54,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
55,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
56,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
57,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
58,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
59,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
60,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
61,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
62,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
63,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
64,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
65,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
66,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
67,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
68,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
69,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
70,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
71,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
72,"[50,100[","[0,100[","[0,250[","[0,500[","[0,3000[","[0,3000[",*
