k,md_loss,lm_loss
1,0,0.0
2,106093,31662.8056
4,148709,34504.5889
8,171976,40786.9258
16,205556,47661.1028
32,228506,52677.2274
64,254101,63777.3726
128,293020,74993.6829
256,317096,78544.4274
512,340180,88759.1683
1024,360136,104722.5524
