k,md_loss,lm_loss
1,0,0.0
2,359903,63042.4733
4,467508,88947.0893
8,533745,100511.1981
16,544369,92905.6236
32,595612,110223.8713
64,677651,127159.7391
128,738799,136978.2747
256,771570,158108.4934
512,802612,169358.2092
1024,804240,189231.0204
