feature,importance,model,k
workclass,0.028011259,XGBoost,2
marital_status,0.51161826,XGBoost,2
occupation,0.039260812,XGBoost,2
race,0.015166661,XGBoost,2
sex,0.029183652,XGBoost,2
native_country,0.019953646,XGBoost,2
age_lower,0.0413417,XGBoost,2
age_upper,0.02571559,XGBoost,2
age_range_width,0.015730904,XGBoost,2
education_num_lower,0.041409973,XGBoost,2
education_num_upper,0.21693085,XGBoost,2
education_num_range_width,0.015676718,XGBoost,2
